instance,num_colors,time,GIter,CIter,CSize
le450_15a.col,17,2592,5,5,3
le450_15a.col,17,2491,5,5,6
le450_15a.col,18,2504,5,5,9
le450_15a.col,17,7241,5,15,3
le450_15a.col,17,8127,5,15,6
le450_15a.col,18,7590,5,15,9
le450_15a.col,17,14243,5,25,3
le450_15a.col,17,12641,5,25,6
le450_15a.col,17,11906,5,25,9
le450_15a.col,17,6173,15,5,3
le450_15a.col,17,7043,15,5,6
le450_15a.col,17,7559,15,5,9
le450_15a.col,17,18014,15,15,3
le450_15a.col,17,19994,15,15,6
le450_15a.col,17,17526,15,15,9
le450_15a.col,16,32364,15,25,3
le450_15a.col,17,30450,15,25,6
le450_15a.col,17,28189,15,25,9
le450_15a.col,17,10958,25,5,3
le450_15a.col,17,10941,25,5,6
le450_15a.col,17,10868,25,5,9
le450_15a.col,17,32222,25,15,3
le450_15a.col,17,30941,25,15,6
le450_15a.col,17,31051,25,15,9
le450_15a.col,17,54037,25,25,3
le450_15a.col,17,51195,25,25,6
le450_15a.col,17,51025,25,25,9
le450_15b.col,17,2681,5,5,3
le450_15b.col,17,2753,5,5,6
le450_15b.col,18,2734,5,5,9
le450_15b.col,17,8118,5,15,3
le450_15b.col,17,7878,5,15,6
le450_15b.col,18,7520,5,15,9
le450_15b.col,17,12657,5,25,3
le450_15b.col,18,12321,5,25,6
le450_15b.col,18,12893,5,25,9
le450_15b.col,17,6603,15,5,3
le450_15b.col,17,6393,15,5,6
le450_15b.col,17,6665,15,5,9
le450_15b.col,17,19357,15,15,3
le450_15b.col,17,18820,15,15,6
le450_15b.col,17,18709,15,15,9
le450_15b.col,17,32087,15,25,3
le450_15b.col,17,31117,15,25,6
le450_15b.col,17,31234,15,25,9
le450_15b.col,17,11709,25,5,3
le450_15b.col,17,11514,25,5,6
le450_15b.col,17,11296,25,5,9
le450_15b.col,17,33352,25,15,3
le450_15b.col,17,33598,25,15,6
le450_15b.col,17,32180,25,15,9
le450_15b.col,16,55062,25,25,3
le450_15b.col,17,54659,25,25,6
le450_15b.col,17,53355,25,25,9
le450_15c.col,24,6330,5,5,3
le450_15c.col,24,6263,5,5,6
le450_15c.col,25,5893,5,5,9
le450_15c.col,23,17070,5,15,3
le450_15c.col,24,17127,5,15,6
le450_15c.col,24,16735,5,15,9
le450_15c.col,23,28372,5,25,3
le450_15c.col,23,29458,5,25,6
le450_15c.col,25,29606,5,25,9
le450_15c.col,23,14963,15,5,3
le450_15c.col,24,15110,15,5,6
le450_15c.col,25,14835,15,5,9
le450_15c.col,23,42196,15,15,3
le450_15c.col,23,40946,15,15,6
le450_15c.col,23,41224,15,15,9
le450_15c.col,22,69246,15,25,3
le450_15c.col,23,69346,15,25,6
le450_15c.col,24,67947,15,25,9
le450_15c.col,23,25966,25,5,3
le450_15c.col,24,25000,25,5,6
le450_15c.col,24,24536,25,5,9
le450_15c.col,23,74463,25,15,3
le450_15c.col,23,72355,25,15,6
le450_15c.col,24,70909,25,15,9
le450_15c.col,23,118596,25,25,3
le450_15c.col,23,117867,25,25,6
le450_15c.col,23,111595,25,25,9
le450_15d.col,24,6129,5,5,3
le450_15d.col,24,6040,5,5,6
le450_15d.col,25,5911,5,5,9
le450_15d.col,23,18113,5,15,3
le450_15d.col,24,17658,5,15,6
le450_15d.col,25,17505,5,15,9
le450_15d.col,23,30526,5,25,3
le450_15d.col,23,30218,5,25,6
le450_15d.col,25,29592,5,25,9
le450_15d.col,24,15128,15,5,3
le450_15d.col,25,14686,15,5,6
le450_15d.col,25,14809,15,5,9
le450_15d.col,23,43738,15,15,3
le450_15d.col,23,42235,15,15,6
le450_15d.col,24,41040,15,15,9
le450_15d.col,22,70322,15,25,3
le450_15d.col,23,69259,15,25,6
le450_15d.col,24,68196,15,25,9
le450_15d.col,23,25857,25,5,3
le450_15d.col,24,25142,25,5,6
le450_15d.col,24,25100,25,5,9
le450_15d.col,23,73161,25,15,3
le450_15d.col,23,72308,25,15,6
le450_15d.col,24,70882,25,15,9
le450_15d.col,22,118878,25,25,3
le450_15d.col,23,116356,25,25,6
le450_15d.col,24,116630,25,25,9
le450_25a.col,25,2153,5,5,3
le450_25a.col,25,2400,5,5,6
le450_25a.col,25,2168,5,5,9
le450_25a.col,25,6380,5,15,3
le450_25a.col,25,6385,5,15,6
le450_25a.col,25,6344,5,15,9
le450_25a.col,25,10567,5,25,3
le450_25a.col,26,10283,5,25,6
le450_25a.col,26,10543,5,25,9
le450_25a.col,25,5197,15,5,3
le450_25a.col,25,5265,15,5,6
le450_25a.col,25,5210,15,5,9
le450_25a.col,25,15153,15,15,3
le450_25a.col,25,15272,15,15,6
le450_25a.col,25,15007,15,15,9
le450_25a.col,25,25374,15,25,3
le450_25a.col,25,25072,15,25,6
le450_25a.col,25,25425,15,25,9
le450_25a.col,25,9393,25,5,3
le450_25a.col,25,9213,25,5,6
le450_25a.col,25,9374,25,5,9
le450_25a.col,25,26631,25,15,3
le450_25a.col,25,27036,25,15,6
le450_25a.col,25,26391,25,15,9
le450_25a.col,25,44015,25,25,3
le450_25a.col,25,42128,25,25,6
le450_25a.col,25,42864,25,25,9
le450_25b.col,25,2209,5,5,3
le450_25b.col,25,2296,5,5,6
le450_25b.col,25,2280,5,5,9
le450_25b.col,25,6891,5,15,3
le450_25b.col,25,6859,5,15,6
le450_25b.col,25,6488,5,15,9
le450_25b.col,25,11038,5,25,3
le450_25b.col,25,10804,5,25,6
le450_25b.col,25,10799,5,25,9
le450_25b.col,25,5535,15,5,3
le450_25b.col,25,5567,15,5,6
le450_25b.col,25,5572,15,5,9
le450_25b.col,25,16087,15,15,3
le450_25b.col,25,15732,15,15,6
le450_25b.col,25,15742,15,15,9
le450_25b.col,25,26075,15,25,3
le450_25b.col,25,26285,15,25,6
le450_25b.col,25,25876,15,25,9
le450_25b.col,25,9605,25,5,3
le450_25b.col,25,9402,25,5,6
le450_25b.col,25,9290,25,5,9
le450_25b.col,25,26913,25,15,3
le450_25b.col,25,26669,25,15,6
le450_25b.col,25,27302,25,15,9
le450_25b.col,25,46023,25,25,3
le450_25b.col,25,44340,25,25,6
le450_25b.col,25,43587,25,25,9
le450_25c.col,30,5656,5,5,3
le450_25c.col,30,5544,5,5,6
le450_25c.col,31,5515,5,5,9
le450_25c.col,29,16065,5,15,3
le450_25c.col,29,15821,5,15,6
le450_25c.col,30,15598,5,15,9
le450_25c.col,29,26421,5,25,3
le450_25c.col,29,25795,5,25,6
le450_25c.col,30,25532,5,25,9
le450_25c.col,28,13403,15,5,3
le450_25c.col,30,13169,15,5,6
le450_25c.col,30,13111,15,5,9
le450_25c.col,29,37778,15,15,3
le450_25c.col,29,37690,15,15,6
le450_25c.col,30,37254,15,15,9
le450_25c.col,29,62186,15,25,3
le450_25c.col,29,61284,15,25,6
le450_25c.col,30,60171,15,25,9
le450_25c.col,29,23323,25,5,3
le450_25c.col,30,23140,25,5,6
le450_25c.col,30,22731,25,5,9
le450_25c.col,29,66427,25,15,3
le450_25c.col,29,65655,25,15,6
le450_25c.col,30,64512,25,15,9
le450_25c.col,28,104278,25,25,3
le450_25c.col,29,106474,25,25,6
le450_25c.col,30,104743,25,25,9
le450_25d.col,29,5733,5,5,3
le450_25d.col,30,5607,5,5,6
le450_25d.col,31,5623,5,5,9
le450_25d.col,29,16041,5,15,3
le450_25d.col,29,16108,5,15,6
le450_25d.col,30,15456,5,15,9
le450_25d.col,29,26329,5,25,3
le450_25d.col,29,25788,5,25,6
le450_25d.col,30,25821,5,25,9
le450_25d.col,29,13468,15,5,3
le450_25d.col,29,13370,15,5,6
le450_25d.col,30,13182,15,5,9
le450_25d.col,28,38530,15,15,3
le450_25d.col,29,37359,15,15,6
le450_25d.col,30,37758,15,15,9
le450_25d.col,28,62276,15,25,3
le450_25d.col,29,61994,15,25,6
le450_25d.col,29,61182,15,25,9
le450_25d.col,29,23651,25,5,3
le450_25d.col,29,23192,25,5,6
le450_25d.col,30,22961,25,5,9
le450_25d.col,28,66986,25,15,3
le450_25d.col,29,65903,25,15,6
le450_25d.col,30,65404,25,15,9
le450_25d.col,28,110490,25,25,3
le450_25d.col,29,110013,25,25,6
le450_25d.col,30,107421,25,25,9
le450_5a.col,7,3525,5,5,3
le450_5a.col,8,3549,5,5,6
le450_5a.col,7,3422,5,5,9
le450_5a.col,7,10790,5,15,3
le450_5a.col,7,10037,5,15,6
le450_5a.col,6,10116,5,15,9
le450_5a.col,6,17741,5,25,3
le450_5a.col,6,18044,5,25,6
le450_5a.col,6,16989,5,25,9
le450_5a.col,7,7978,15,5,3
le450_5a.col,7,7811,15,5,6
le450_5a.col,6,8085,15,5,9
le450_5a.col,5,24903,15,15,3
le450_5a.col,6,24763,15,15,6
le450_5a.col,6,23746,15,15,9
le450_5a.col,6,40682,15,25,3
le450_5a.col,5,41942,15,25,6
le450_5a.col,5,41778,15,25,9
le450_5a.col,5,14446,25,5,3
le450_5a.col,6,13516,25,5,6
le450_5a.col,7,12849,25,5,9
le450_5a.col,6,43270,25,15,3
le450_5a.col,6,41046,25,15,6
le450_5a.col,6,41061,25,15,9
le450_5a.col,5,70943,25,25,3
le450_5a.col,5,69274,25,25,6
le450_5a.col,5,70299,25,25,9
le450_5b.col,7,3567,5,5,3
le450_5b.col,7,3447,5,5,6
le450_5b.col,7,3464,5,5,9
le450_5b.col,5,11663,5,15,3
le450_5b.col,5,12189,5,15,6
le450_5b.col,6,10477,5,15,9
le450_5b.col,5,18920,5,25,3
le450_5b.col,6,17834,5,25,6
le450_5b.col,6,18459,5,25,9
le450_5b.col,5,8140,15,5,3
le450_5b.col,7,7806,15,5,6
le450_5b.col,6,8522,15,5,9
le450_5b.col,5,27092,15,15,3
le450_5b.col,6,24914,15,15,6
le450_5b.col,6,23266,15,15,9
le450_5b.col,5,43556,15,25,3
le450_5b.col,5,41997,15,25,6
le450_5b.col,5,40434,15,25,9
le450_5b.col,6,13924,25,5,3
le450_5b.col,7,13845,25,5,6
le450_5b.col,6,13280,25,5,9
le450_5b.col,5,44105,25,15,3
le450_5b.col,6,41363,25,15,6
le450_5b.col,6,40736,25,15,9
le450_5b.col,5,75562,25,25,3
le450_5b.col,5,70224,25,25,6
le450_5b.col,6,67977,25,25,9
le450_5c.col,5,9301,5,5,3
le450_5c.col,6,8847,5,5,6
le450_5c.col,6,8846,5,5,9
le450_5c.col,5,28221,5,15,3
le450_5c.col,5,27605,5,15,6
le450_5c.col,5,26984,5,15,9
le450_5c.col,5,46398,5,25,3
le450_5c.col,5,45174,5,25,6
le450_5c.col,5,44347,5,25,9
le450_5c.col,5,21408,15,5,3
le450_5c.col,5,21159,15,5,6
le450_5c.col,5,20853,15,5,9
le450_5c.col,5,67162,15,15,3
le450_5c.col,5,64312,15,15,6
le450_5c.col,5,64659,15,15,9
le450_5c.col,5,111026,15,25,3
le450_5c.col,5,109217,15,25,6
le450_5c.col,5,106861,15,25,9
le450_5c.col,5,36342,25,5,3
le450_5c.col,5,35748,25,5,6
le450_5c.col,5,35736,25,5,9
le450_5c.col,5,116525,25,15,3
le450_5c.col,5,111800,25,15,6
le450_5c.col,5,109637,25,15,9
le450_5c.col,5,191735,25,25,3
le450_5c.col,5,187529,25,25,6
le450_5c.col,5,194404,25,25,9
le450_5d.col,6,8697,5,5,3
le450_5d.col,6,9005,5,5,6
le450_5d.col,6,9167,5,5,9
le450_5d.col,5,27886,5,15,3
le450_5d.col,6,27381,5,15,6
le450_5d.col,6,27361,5,15,9
le450_5d.col,5,47316,5,25,3
le450_5d.col,5,46290,5,25,6
le450_5d.col,5,45216,5,25,9
le450_5d.col,6,21146,15,5,3
le450_5d.col,6,21292,15,5,6
le450_5d.col,5,21166,15,5,9
le450_5d.col,5,65107,15,15,3
le450_5d.col,5,66333,15,15,6
le450_5d.col,5,65306,15,15,9
le450_5d.col,5,109573,15,25,3
le450_5d.col,5,109781,15,25,6
le450_5d.col,5,108224,15,25,9
le450_5d.col,5,35000,25,5,3
le450_5d.col,5,35764,25,5,6
le450_5d.col,6,35874,25,5,9
le450_5d.col,5,110186,25,15,3
le450_5d.col,5,115426,25,15,6
le450_5d.col,5,112478,25,15,9
le450_5d.col,5,188002,25,25,3
le450_5d.col,5,193115,25,25,6
le450_5d.col,5,188605,25,25,9
